,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,-1347423326.627652,-151521911.428654,-346542521.504992,-1392447489.40678
Tax Rate For Calcs,0.181373,0.187527,0.19146,0.189629
Normalized EBITDA,196758000000.0,208486000000.0,102714000000.0,117409000000.0
Total Unusual Items,-7429000000.0,-808000000.0,-1810000000.0,-7343000000.0
Total Unusual Items Excluding Goodwill,-7429000000.0,-808000000.0,-1810000000.0,-7343000000.0
Net Income From Continuing Operation Net Minority Interest,32476000000.0,48939000000.0,58310000000.0,66933000000.0
Reconciled Depreciation,127171000000.0,120714000000.0,113750000000.0,109906000000.0
Reconciled Cost Of Revenue,2313170000000.0,2570328000000.0,2683162000000.0,2794662000000.0
EBITDA,189329000000.0,207678000000.0,100904000000.0,110066000000.0
EBIT,62158000000.0,86964000000.0,100904000000.0,110066000000.0
Net Interest Income,-12612000000.0,-11887000000.0,-10142000000.0,-9400000000.0
Interest Expense,18414000000.0,17822000000.0,16970000000.0,15666000000.0
Interest Income,5802000000.0,5935000000.0,6828000000.0,6266000000.0
Normalized Income,38557576673.372345,49595478088.57134,59773457478.49501,72883552510.59322
Net Income From Continuing And Discontinued Operation,32476000000.0,48939000000.0,58310000000.0,66933000000.0
Total Expenses,2729244000000.0,3003750000000.0,3124373000000.0,3222339000000.0
Rent Expense Supplemental,2512000000.0,2362000000.0,2344000000.0,2205000000.0
Total Operating Income As Reported,48608000000.0,70686000000.0,86828000000.0,75835000000.0
Diluted Average Shares,,121138000000.0,119811000000.0,120889000000.0
Basic Average Shares,,121138000000.0,119811000000.0,120889000000.0
Diluted EPS,,0.404,0.487,0.554
Basic EPS,,0.404,0.487,0.547
Diluted NI Availto Com Stockholders,32476000000.0,48939000000.0,58310000000.0,66933000000.0
Net Income Common Stockholders,32476000000.0,48939000000.0,58310000000.0,66933000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,32476000000.0,48939000000.0,58310000000.0,66933000000.0
Minority Interests,-3334000000.0,-7237000000.0,-9554000000.0,-9566000000.0
Net Income Including Noncontrolling Interests,35810000000.0,56176000000.0,67864000000.0,76499000000.0
Net Income Continuous Operations,35810000000.0,56176000000.0,67864000000.0,76499000000.0
Tax Provision,7934000000.0,12966000000.0,16070000000.0,17901000000.0
Pretax Income,43744000000.0,69142000000.0,83934000000.0,94400000000.0
Other Income Expense,,,,7485000000.0
Other Non Operating Income Expenses,1831000000.0,1456000000.0,1352000000.0,1222000000.0
Special Income Charges,-9578000000.0,-1613000000.0,905000000.0,8447000000.0
Gain On Sale Of Ppe,,,,-722000000.0
Gain On Sale Of Business,,,,13754000000.0
Other Special Charges,1249000000.0,-907000000.0,-3298000000.0,-13032000000.0
Write Off,-258000000.0,108000000.0,-243000000.0,-1084000000.0
Impairment Of Capital Assets,8587000000.0,2412000000.0,2636000000.0,5669000000.0
Earnings From Equity Interest,,,,14479000000.0
Gain On Sale Of Security,,,,-14955000000.0
Net Non Operating Interest Income Expense,-12612000000.0,-11887000000.0,-10142000000.0,-9400000000.0
Interest Expense Non Operating,18414000000.0,17822000000.0,16970000000.0,15666000000.0
Interest Income Non Operating,5802000000.0,5935000000.0,6828000000.0,6266000000.0
Operating Income,52508000000.0,69356000000.0,86490000000.0,94607000000.0
Operating Expense,416074000000.0,433422000000.0,441211000000.0,427677000000.0
Other Operating Expenses,265188000000.0,278402000000.0,285428000000.0,277560000000.0
Other Taxes,,,,263991000000.0
Selling General And Administration,54672000000.0,55185000000.0,57231000000.0,53604000000.0
General And Administrative Expense,54672000000.0,55185000000.0,57231000000.0,53604000000.0
Other Gand A,,,,55809000000.0
Rent And Landing Fees,2512000000.0,2362000000.0,2344000000.0,2205000000.0
Salaries And Wages,,,,103585000000.0
Gross Profit,468582000000.0,502778000000.0,527701000000.0,522284000000.0
Cost Of Revenue,2313170000000.0,2570328000000.0,2683162000000.0,2794662000000.0
Total Revenue,2781752000000.0,3073106000000.0,3210863000000.0,3316946000000.0
Operating Revenue,2781752000000.0,3073106000000.0,3210863000000.0,3316946000000.0
