,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Ordinary Shares Number,28264705000.0,28264705000.0,28264705000.0,28264705000.0
Share Issued,28264705000.0,28264705000.0,28264705000.0,28264705000.0
Total Debt,36790000000.0,49270000000.0,48973000000.0,49340000000.0
Tangible Book Value,587115000000.0,501413000000.0,319415000000.0,427637000000.0
Invested Capital,630456000000.0,557627000000.0,375502000000.0,483940000000.0
Net Tangible Assets,587115000000.0,501413000000.0,319415000000.0,427637000000.0
Capital Lease Obligations,1539000000.0,1318000000.0,1255000000.0,1569000000.0
Common Stock Equity,595205000000.0,509675000000.0,327784000000.0,436169000000.0
Total Capitalization,630450000000.0,557562000000.0,375502000000.0,483940000000.0
Total Equity Gross Minority Interest,608393000000.0,521248000000.0,337716000000.0,445121000000.0
Minority Interest,13188000000.0,11573000000.0,9932000000.0,8952000000.0
Stockholders Equity,595205000000.0,509675000000.0,327784000000.0,436169000000.0
Gains Losses Not Affecting Retained Earnings,,,,206216000000.0
Retained Earnings,485603000000.0,362377000000.0,268440000000.0,201688000000.0
Additional Paid In Capital,54528000000.0,54158000000.0,53934000000.0,53554000000.0
Capital Stock,28265000000.0,28265000000.0,28265000000.0,28265000000.0
Common Stock,28265000000.0,28265000000.0,28265000000.0,28265000000.0
Total Liabilities Net Minority Interest,6982611000000.0,6248298000000.0,5316011000000.0,4806863000000.0
Derivative Product Liabilities,,,,340000000.0
Non Current Deferred Liabilities,,,,272000000.0
Non Current Deferred Revenue,,,49818000000.0,50830000000.0
Non Current Deferred Taxes Liabilities,1480000000.0,147000000.0,1549000000.0,272000000.0
Long Term Debt And Capital Lease Obligation,36784000000.0,49205000000.0,48973000000.0,49340000000.0
Long Term Capital Lease Obligation,1539000000.0,1318000000.0,1255000000.0,1569000000.0
Long Term Debt,35245000000.0,47887000000.0,47718000000.0,47771000000.0
Current Debt And Capital Lease Obligation,6000000.0,65000000.0,,
Current Debt,6000000.0,65000000.0,,
Payables And Accrued Expenses,,,,307490000000.0
Current Accrued Expenses,,,,21200000000.0
Interest Payable,,,,21200000000.0
Payables,16268000000.0,12199000000.0,9692000000.0,195154000000.0
Other Payable,13643000000.0,10582000000.0,8586000000.0,35713000000.0
Dividends Payable,,,95240000000.0,96682000000.0
Total Tax Payable,2625000000.0,1617000000.0,1106000000.0,942000000.0
Income Tax Payable,,,,942000000.0
Accounts Payable,,,67340000000.0,61817000000.0
Total Assets,7591004000000.0,6769546000000.0,5653727000000.0,5251984000000.0
Non Current Deferred Taxes Assets,34431000000.0,40026000000.0,74818000000.0,22307000000.0
Investments And Advances,6792986000000.0,6037641000000.0,4486171000000.0,3797273000000.0
Investmentin Financial Assets,6485198000000.0,5735564000000.0,1964252000000.0,1797986000000.0
Held To Maturity Securities,,,1707198000000.0,1574204000000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,,,,223790000000.0
Trading Securities,2067288000000.0,1908098000000.0,257054000000.0,223782000000.0
Long Term Equity Investment,307788000000.0,302077000000.0,258872000000.0,261179000000.0
Investments In Other Ventures Under Equity Method,,,,261179000000.0
Investment Properties,11702000000.0,12319000000.0,12753000000.0,13193000000.0
Goodwill And Other Intangible Assets,8090000000.0,8262000000.0,8369000000.0,8532000000.0
Other Intangible Assets,8090000000.0,8262000000.0,8369000000.0,8532000000.0
Net PPE,54446000000.0,55221000000.0,54774000000.0,55887000000.0
Accumulated Depreciation,-32037000000.0,-29214000000.0,-26682000000.0,-24054000000.0
Gross PPE,86483000000.0,84435000000.0,81456000000.0,79941000000.0
Construction In Progress,3778000000.0,5819000000.0,5182000000.0,5025000000.0
Other Properties,13961000000.0,13562000000.0,12788000000.0,11962000000.0
Machinery Furniture Equipment,,,,8884000000.0
Buildings And Improvements,,,,69361000000.0
Properties,68744000000.0,65054000000.0,63486000000.0,62954000000.0
Prepaid Assets,,,,7277000000.0
Receivables,,,,23858000000.0
Other Receivables,,,47963000000.0,65718000000.0
Loans Receivable,,,,342083000000.0
Accounts Receivable,,,29494000000.0,27537000000.0
Cash Cash Equivalents And Short Term Investments,143319000000.0,86519000000.0,2413567000000.0,1867061000000.0
Other Short Term Investments,,,2263047000000.0,1738108000000.0
Cash And Cash Equivalents,143319000000.0,86519000000.0,150520000000.0,128953000000.0
